#Insert size (bp)	insert size
4.0	2.0
10.0	2.0
15.0	1.0
19.0	1.0
20.0	20.0
21.0	570.0
22.0	648.0
23.0	123.0
24.0	9.0
25.0	5.0
26.0	38.0
27.0	35.0
28.0	4.0
29.0	9.0
30.0	3.0
31.0	15.0
32.0	1.0
33.0	29.0
34.0	2.0
35.0	2.0
37.0	2.0
38.0	1.0
39.0	1.0
40.0	11.0
41.0	1.0
42.0	1.0
43.0	4.0
44.0	1.0
45.0	1.0
46.0	1.0
47.0	3.0
49.0	5.0
51.0	3.0
52.0	1.0
53.0	1.0
54.0	20.0
55.0	6.0
56.0	4.0
57.0	3.0
58.0	3.0
59.0	23.0
60.0	3.0
62.0	34.0
63.0	2.0
64.0	2.0
65.0	4.0
66.0	2.0
67.0	2.0
68.0	21.0
69.0	21.0
70.0	17.0
71.0	8.0
72.0	11.0
73.0	2.0
74.0	4.0
75.0	3.0
76.0	3.0
77.0	7.0
78.0	7.0
79.0	6.0
80.0	35.0
81.0	4.0
82.0	27.0
83.0	62.0
84.0	3.0
85.0	3.0
86.0	3.0
87.0	15.0
88.0	25.0
89.0	5.0
90.0	9.0
91.0	15.0
92.0	247.0
93.0	6.0
94.0	10.0
95.0	7.0
96.0	8.0
97.0	17.0
98.0	8.0
99.0	13.0
100.0	33.0
101.0	880.0
102.0	759.0
103.0	5490.0
104.0	1999.0
105.0	942.0
106.0	345.0
107.0	5752.0
108.0	52.0
109.0	4279.0
110.0	2104.0
111.0	3065.0
112.0	64.0
113.0	1811.0
114.0	1208.0
115.0	3398.0
116.0	1113.0
117.0	607.0
118.0	807.0
119.0	7112.0
120.0	5066.0
121.0	16017.0
122.0	3704.0
123.0	6431.0
124.0	6154.0
125.0	7257.0
126.0	10295.0
127.0	5051.0
128.0	4476.0
129.0	16796.0
130.0	16222.0
131.0	3480.0
132.0	20121.0
133.0	8091.0
134.0	7369.0
135.0	8515.0
136.0	14745.0
137.0	11831.0
138.0	9061.0
139.0	9735.0
140.0	15704.0
141.0	16246.0
142.0	16533.0
143.0	19723.0
144.0	21990.0
145.0	21205.0
146.0	4978.0
147.0	4004.0
148.0	42618.0
149.0	31262.0
150.0	22957.0
151.0	12682.0
152.0	24235.0
153.0	23128.0
154.0	25204.0
155.0	12584.0
156.0	3299.0
157.0	14549.0
158.0	16472.0
159.0	17519.0
160.0	19341.0
161.0	2175.0
162.0	25.0
163.0	1281.0
164.0	50.0
165.0	811.0
166.0	4988.0
167.0	13.0
168.0	4.0
169.0	3.0
170.0	5.0
171.0	6.0
172.0	12.0
173.0	5.0
174.0	2.0
175.0	21.0
176.0	562.0
177.0	15.0
178.0	3238.0
179.0	13.0
180.0	35.0
181.0	25.0
182.0	13.0
183.0	39.0
184.0	4179.0
185.0	5.0
186.0	81.0
187.0	34.0
188.0	16.0
189.0	17.0
190.0	1681.0
191.0	67.0
192.0	7288.0
193.0	74.0
194.0	7847.0
195.0	17.0
196.0	561.0
197.0	7.0
198.0	8.0
199.0	67.0
200.0	24.0
201.0	58.0
202.0	11348.0
203.0	27.0
204.0	222.0
205.0	1690.0
206.0	2783.0
207.0	1557.0
208.0	32.0
209.0	27.0
210.0	43.0
211.0	10176.0
212.0	10124.0
213.0	702.0
214.0	6829.0
215.0	2622.0
216.0	12.0
217.0	1066.0
218.0	41.0
219.0	74.0
220.0	19962.0
221.0	27.0
222.0	150.0
223.0	15.0
224.0	1215.0
225.0	2057.0
226.0	12.0
227.0	12.0
228.0	1264.0
229.0	19.0
230.0	15.0
231.0	1315.0
232.0	28.0
233.0	28.0
234.0	91.0
235.0	71.0
236.0	5100.0
237.0	22561.0
238.0	34.0
239.0	15.0
240.0	1365.0
241.0	20.0
242.0	3797.0
243.0	11.0
244.0	9.0
245.0	640.0
246.0	25.0
247.0	70.0
248.0	2087.0
249.0	10420.0
250.0	132.0
251.0	108.0
252.0	146.0
253.0	39000.0
254.0	478.0
255.0	1160.0
256.0	5766.0
257.0	16.0
258.0	3.0
259.0	13.0
260.0	29.0
261.0	40.0
262.0	15.0
263.0	36.0
264.0	7.0
265.0	11.0
266.0	104.0
267.0	71.0
268.0	263.0
269.0	44102.0
270.0	53.0
271.0	6355.0
272.0	3.0
273.0	7.0
274.0	6.0
275.0	4.0
276.0	8.0
277.0	984.0
278.0	16.0
279.0	15.0
280.0	24.0
281.0	11774.0
282.0	11.0
283.0	2.0
284.0	15.0
285.0	3344.0
286.0	1.0
287.0	4.0
288.0	5.0
289.0	2.0
290.0	4.0
291.0	12.0
292.0	1451.0
293.0	10.0
294.0	6.0
295.0	650.0
296.0	14.0
297.0	498.0
298.0	277.0
299.0	6070.0
300.0	8.0
301.0	11.0
302.0	11.0
303.0	756.0
304.0	7761.0
305.0	5.0
306.0	7.0
307.0	30.0
308.0	8.0
309.0	64.0
310.0	12620.0
311.0	1167.0
312.0	4.0
313.0	1.0
315.0	1.0
316.0	1.0
317.0	1.0
318.0	2.0
320.0	1.0
321.0	562.0
322.0	8.0
323.0	1120.0
324.0	8.0
325.0	1.0
327.0	205.0
328.0	1.0
329.0	1.0
331.0	1.0
333.0	1.0
337.0	1.0
339.0	116.0
341.0	3.0
342.0	1.0
343.0	3.0
344.0	2.0
345.0	1.0
347.0	1.0
348.0	6.0
349.0	11.0
350.0	10.0
351.0	2650.0
352.0	16.0
353.0	826.0
354.0	2.0
355.0	1826.0
358.0	1.0
359.0	1.0
361.0	2.0
362.0	1.0
363.0	307.0
364.0	1.0
367.0	446.0
368.0	1.0
370.0	142.0
373.0	5.0
375.0	3.0
376.0	884.0
378.0	91.0
379.0	1.0
381.0	1.0
383.0	579.0
385.0	1.0
386.0	1.0
388.0	1.0
389.0	11.0
390.0	596.0
391.0	1.0
396.0	1.0
401.0	1.0
406.0	1.0
408.0	2.0
411.0	1.0
412.0	1.0
415.0	9.0
416.0	1.0
417.0	73.0
418.0	40.0
419.0	313.0
420.0	201.0
423.0	1.0
425.0	3.0
426.0	1.0
427.0	1.0
428.0	2.0
429.0	1.0
430.0	1.0
431.0	3.0
432.0	2.0
433.0	415.0
434.0	4.0
435.0	1.0
436.0	2.0
437.0	6.0
438.0	5.0
439.0	1.0
440.0	7.0
