#Coverage	Number of genomic locations
160.0	2.0
161.0	1.0
179.0	1.0
212.0	1.0
226.0	1.0
270.0	2.0
275.0	1.0
327.0	17.0
328.0	18.0
330.0	1.0
334.0	1.0
354.0	3.0
375.0	1.0
398.0	1.0
402.0	1.0
403.0	1.0
410.0	2.0
411.0	1.0
416.0	1.0
424.0	2.0
437.0	1.0
441.0	1.0
442.0	1.0
443.0	1.0
456.0	1.0
459.0	1.0
461.0	1.0
464.0	1.0
469.0	1.0
471.0	4.0
472.0	1.0
473.0	2.0
476.0	1.0
478.0	2.0
480.0	2.0
481.0	7.0
483.0	2.0
484.0	1.0
485.0	7.0
486.0	1.0
487.0	3.0
502.0	1.0
510.0	68.0
511.0	33.0
522.0	1.0
524.0	1.0
536.0	1.0
537.0	27.0
538.0	8.0
539.0	27.0
540.0	27.0
542.0	1.0
556.0	1.0
557.0	3.0
559.0	4.0
571.0	1.0
574.0	1.0
576.0	1.0
578.0	1.0
581.0	1.0
587.0	1.0
590.0	1.0
597.0	1.0
598.0	13.0
599.0	28.0
600.0	1.0
606.0	1.0
610.0	1.0
613.0	2.0
614.0	6.0
616.0	2.0
617.0	1.0
618.0	2.0
640.0	1.0
641.0	6.0
643.0	19.0
644.0	1.0
647.0	1.0
648.0	9.0
650.0	45.0
651.0	17.0
653.0	21.0
746.0	1.0
809.0	1.0
811.0	100.0
833.0	1.0
835.0	33.0
836.0	34.0
929.0	2.0
930.0	49.0
931.0	47.0
932.0	15.0
934.0	79.0
949.0	24.0
950.0	49.0
1015.0	8.0
1016.0	28.0
1032.0	1.0
1033.0	2.0
1036.0	1.0
1037.0	3.0
1038.0	56.0
1039.0	29.0
1041.0	1.0
1042.0	1.0
1049.0	34.0
1058.0	2.0
1079.0	1.0
1080.0	13.0
1081.0	20.0
1082.0	31.0
1084.0	2.0
1085.0	47.0
1086.0	19.0
1088.0	9.0
1095.0	1.0
1163.0	1.0
1165.0	13.0
1166.0	6.0
1167.0	57.0
1168.0	13.0
1176.0	1.0
1177.0	1.0
1178.0	14.0
1180.0	2.0
1229.0	1.0
1234.0	6.0
1239.0	17.0
1240.0	61.0
1241.0	12.0
1272.0	1.0
1276.0	1.0
1280.0	1.0
1285.0	1.0
1290.0	4.0
1291.0	22.0
1292.0	26.0
1293.0	6.0
1294.0	9.0
1295.0	17.0
1296.0	7.0
1297.0	1.0
1298.0	6.0
1299.0	2.0
1301.0	1.0
1303.0	1.0
1305.0	55.0
1306.0	43.0
1317.0	2.0
1319.0	83.0
1320.0	2.0
1321.0	87.0
1322.0	6.0
1329.0	1.0
1358.0	1.0
1394.0	1.0
1396.0	1.0
1397.0	3.0
1458.0	2.0
1459.0	43.0
1460.0	45.0
1461.0	8.0
1462.0	7.0
1487.0	1.0
1489.0	1.0
1490.0	1.0
1491.0	25.0
1492.0	56.0
1495.0	1.0
1496.0	2.0
1497.0	15.0
1498.0	1.0
1499.0	11.0
1500.0	22.0
1501.0	49.0
1504.0	3.0
1510.0	1.0
1512.0	4.0
1518.0	2.0
1519.0	5.0
1520.0	3.0
1523.0	1.0
1526.0	2.0
1529.0	1.0
1531.0	2.0
1532.0	28.0
1533.0	27.0
1534.0	18.0
1536.0	1.0
1539.0	1.0
1541.0	2.0
1542.0	1.0
1543.0	1.0
1548.0	1.0
1563.0	1.0
1564.0	2.0
1565.0	49.0
1566.0	19.0
1581.0	1.0
1584.0	5.0
1594.0	10.0
1595.0	19.0
1599.0	8.0
1616.0	1.0
1617.0	53.0
1618.0	13.0
1619.0	23.0
1620.0	40.0
1621.0	6.0
1631.0	1.0
1682.0	37.0
1684.0	26.0
1685.0	1.0
1686.0	22.0
1687.0	31.0
1691.0	1.0
1692.0	49.0
1693.0	47.0
1694.0	3.0
1695.0	21.0
1696.0	20.0
1697.0	3.0
1698.0	32.0
1699.0	7.0
1778.0	7.0
1779.0	1.0
1780.0	8.0
1781.0	1.0
1784.0	1.0
1786.0	12.0
1787.0	50.0
1788.0	1.0
1789.0	3.0
1814.0	5.0
1815.0	13.0
1816.0	50.0
1817.0	61.0
1818.0	1.0
1819.0	27.0
1820.0	4.0
1824.0	1.0
1826.0	1.0
1827.0	10.0
1828.0	22.0
1829.0	4.0
1830.0	49.0
1850.0	1.0
1852.0	16.0
1853.0	35.0
1902.0	1.0
1904.0	9.0
1906.0	2.0
1907.0	23.0
1908.0	1.0
1909.0	1.0
1920.0	8.0
1921.0	82.0
1922.0	13.0
1927.0	2.0
1928.0	52.0
1929.0	16.0
1952.0	1.0
1956.0	8.0
1958.0	47.0
1959.0	45.0
1960.0	86.0
1961.0	13.0
1978.0	46.0
1979.0	3.0
1980.0	1.0
1999.0	1.0
2044.0	1.0
2045.0	1.0
2046.0	2.0
2047.0	33.0
2048.0	1.0
2049.0	23.0
2050.0	16.0
2051.0	10.0
2052.0	8.0
2056.0	1.0
2058.0	1.0
2060.0	1.0
2061.0	7.0
2062.0	28.0
2063.0	6.0
2065.0	1.0
2080.0	2.0
2082.0	2.0
2083.0	7.0
2085.0	1.0
2087.0	25.0
2088.0	9.0
2089.0	9.0
2090.0	36.0
2091.0	20.0
2092.0	5.0
2125.0	17.0
2126.0	27.0
2134.0	2.0
2136.0	86.0
2143.0	6.0
2144.0	1.0
2145.0	25.0
2151.0	1.0
2154.0	4.0
2155.0	3.0
2156.0	15.0
2157.0	36.0
2158.0	42.0
2181.0	2.0
2183.0	33.0
2184.0	2.0
2185.0	31.0
2214.0	16.0
2215.0	42.0
2216.0	36.0
2218.0	8.0
2219.0	4.0
2220.0	32.0
2241.0	1.0
2242.0	1.0
2243.0	66.0
2244.0	1.0
2270.0	2.0
2315.0	1.0
2316.0	12.0
2317.0	54.0
2318.0	23.0
2360.0	1.0
2361.0	46.0
2362.0	22.0
2363.0	17.0
2365.0	8.0
2367.0	16.0
2369.0	8.0
2370.0	1.0
