#Duplication rate	Coverage
1.0	2429.0
2.0	876.0
3.0	344.0
4.0	232.0
5.0	137.0
6.0	120.0
7.0	72.0
8.0	75.0
9.0	49.0
10.0	45.0
11.0	44.0
12.0	37.0
13.0	23.0
14.0	32.0
15.0	19.0
16.0	31.0
17.0	19.0
18.0	18.0
19.0	8.0
20.0	6.0
21.0	12.0
22.0	16.0
23.0	6.0
24.0	10.0
25.0	14.0
26.0	8.0
27.0	10.0
28.0	4.0
29.0	7.0
30.0	5.0
31.0	5.0
32.0	6.0
33.0	3.0
34.0	3.0
35.0	7.0
36.0	6.0
37.0	3.0
38.0	4.0
39.0	9.0
40.0	2.0
41.0	3.0
42.0	0.0
43.0	2.0
44.0	1.0
45.0	6.0
46.0	1.0
47.0	8.0
48.0	4.0
49.0	1.0
50.0	529.0
