#Duplication rate	Coverage
1.0	489.0
2.0	641.0
3.0	691.0
4.0	751.0
5.0	846.0
6.0	959.0
7.0	975.0
8.0	980.0
9.0	1096.0
10.0	1063.0
11.0	1066.0
12.0	1110.0
13.0	1057.0
14.0	1096.0
15.0	1048.0
16.0	1075.0
17.0	1007.0
18.0	991.0
19.0	925.0
20.0	932.0
21.0	901.0
22.0	863.0
23.0	816.0
24.0	820.0
25.0	752.0
26.0	698.0
27.0	719.0
28.0	646.0
29.0	673.0
30.0	607.0
31.0	613.0
32.0	575.0
33.0	515.0
34.0	540.0
35.0	468.0
36.0	445.0
37.0	470.0
38.0	425.0
39.0	393.0
40.0	383.0
41.0	368.0
42.0	350.0
43.0	303.0
44.0	340.0
45.0	323.0
46.0	292.0
47.0	283.0
48.0	277.0
49.0	223.0
50.0	4832.0
