#Insert size (bp)	insert size
9.0	1.0
10.0	1.0
12.0	4.0
13.0	2.0
15.0	1.0
16.0	2.0
17.0	4.0
18.0	6.0
19.0	11.0
20.0	6.0
21.0	9.0
22.0	5.0
23.0	1.0
24.0	11.0
25.0	10.0
26.0	9.0
27.0	14.0
28.0	1.0
29.0	4.0
30.0	5.0
31.0	4.0
32.0	3.0
33.0	1.0
34.0	11.0
35.0	18.0
36.0	1.0
37.0	1.0
38.0	4.0
39.0	2.0
40.0	1.0
41.0	2.0
42.0	3.0
45.0	1.0
46.0	3.0
47.0	11.0
48.0	4.0
49.0	1.0
50.0	2.0
51.0	8.0
52.0	10.0
53.0	11.0
54.0	7.0
55.0	12.0
56.0	21.0
57.0	20.0
58.0	36.0
59.0	33.0
60.0	29.0
61.0	42.0
62.0	39.0
63.0	51.0
64.0	65.0
65.0	62.0
66.0	66.0
67.0	87.0
68.0	88.0
69.0	91.0
70.0	121.0
71.0	113.0
72.0	164.0
73.0	171.0
74.0	172.0
75.0	199.0
76.0	210.0
77.0	216.0
78.0	227.0
79.0	289.0
80.0	337.0
81.0	332.0
82.0	336.0
83.0	394.0
84.0	381.0
85.0	436.0
86.0	453.0
87.0	514.0
88.0	509.0
89.0	523.0
90.0	580.0
91.0	578.0
92.0	660.0
93.0	688.0
94.0	730.0
95.0	766.0
96.0	830.0
97.0	816.0
98.0	836.0
99.0	814.0
100.0	871.0
101.0	890.0
102.0	914.0
103.0	1035.0
104.0	961.0
105.0	1033.0
106.0	987.0
107.0	1131.0
108.0	1084.0
109.0	1168.0
110.0	1207.0
111.0	1243.0
112.0	1337.0
113.0	1228.0
114.0	1317.0
115.0	1318.0
116.0	1333.0
117.0	1345.0
118.0	1399.0
119.0	1438.0
120.0	1592.0
121.0	1514.0
122.0	1501.0
123.0	1493.0
124.0	1560.0
125.0	1596.0
126.0	1634.0
127.0	1679.0
128.0	1653.0
129.0	1641.0
130.0	1701.0
131.0	1711.0
132.0	1694.0
133.0	1832.0
134.0	1696.0
135.0	1758.0
136.0	1912.0
137.0	1789.0
138.0	1802.0
139.0	1859.0
140.0	1921.0
141.0	1829.0
142.0	1895.0
143.0	1924.0
144.0	1968.0
145.0	1823.0
146.0	1888.0
147.0	1891.0
148.0	1900.0
149.0	1980.0
150.0	1910.0
151.0	1963.0
152.0	1970.0
153.0	1904.0
154.0	2056.0
155.0	2072.0
156.0	2058.0
157.0	2000.0
158.0	1995.0
159.0	1966.0
160.0	2022.0
161.0	2024.0
162.0	2056.0
163.0	2097.0
164.0	2022.0
165.0	2073.0
166.0	1945.0
167.0	1934.0
168.0	2084.0
169.0	2129.0
170.0	2148.0
171.0	2046.0
172.0	1959.0
173.0	1985.0
174.0	2057.0
175.0	1928.0
176.0	1971.0
177.0	1912.0
178.0	1978.0
179.0	1925.0
180.0	2222.0
181.0	2050.0
182.0	2142.0
183.0	2132.0
184.0	2084.0
185.0	2168.0
186.0	2006.0
187.0	1982.0
188.0	1964.0
189.0	2045.0
190.0	2176.0
191.0	2084.0
192.0	2005.0
193.0	2018.0
194.0	2044.0
195.0	1966.0
196.0	2136.0
197.0	1979.0
198.0	2090.0
199.0	2155.0
200.0	1989.0
201.0	2091.0
202.0	1955.0
203.0	2108.0
204.0	2141.0
205.0	2003.0
206.0	2107.0
207.0	2124.0
208.0	1999.0
209.0	2027.0
210.0	1977.0
211.0	2044.0
212.0	2200.0
213.0	2061.0
214.0	2149.0
215.0	2066.0
216.0	1976.0
217.0	1998.0
218.0	2006.0
219.0	2123.0
220.0	2042.0
221.0	1970.0
222.0	2064.0
223.0	2071.0
224.0	1971.0
225.0	2036.0
226.0	1932.0
227.0	1962.0
228.0	1915.0
229.0	1887.0
230.0	1830.0
231.0	1984.0
232.0	1938.0
233.0	1977.0
234.0	1842.0
235.0	1980.0
236.0	1900.0
237.0	1805.0
238.0	1897.0
239.0	1820.0
240.0	1918.0
