#Position (bp)	mapping quality
3877256.5	0.0
1.16317685E7	0.0
1.93862805E7	0.0
2.71407925E7	0.0
3.48953045E7	0.0
4.26498165E7	0.0
5.04043285E7	0.0
5.81588405E7	0.0
6.59133525E7	0.0
7.36678645E7	0.0
8.14223765E7	0.0
8.91768885E7	0.0
9.69314005E7	0.0
1.046859125E8	0.0
1.124404245E8	59.98684113317136
1.201949365E8	0.0
1.279494485E8	0.0
1.357039605E8	0.0
1.434584725E8	0.0
1.512129845E8	0.0
1.589674965E8	59.99391135282681
1.667220085E8	0.0
1.744765205E8	0.0
1.822310325E8	0.0
1.899855445E8	0.0
1.977400565E8	0.0
2.054945685E8	0.0
2.132490805E8	0.0
2.210035925E8	0.0
2.287581045E8	55.749149953735184
2.365126165E8	0.0
2.442671285E8	0.0
2.48697503E8	0.0
2.52574759E8	0.0
2.597761525E8	0.0
2.675306645E8	0.0
2.752851765E8	59.975014904981336
2.830396885E8	0.0
2.907942005E8	0.0
2.985487125E8	0.0
3.063032245E8	0.0
3.140577365E8	0.0
3.218122485E8	0.0
3.295667605E8	0.0
3.373212725E8	0.0
3.450757845E8	0.0
3.528302965E8	0.0
3.605848085E8	0.0
3.683393205E8	0.0
3.760938325E8	0.0
3.838483445E8	0.0
3.916028565E8	0.0
3.993573685E8	0.0
4.071118805E8	0.0
4.148663925E8	0.0
4.226209045E8	0.0
4.303754165E8	0.0
4.381299285E8	0.0
4.458844405E8	59.994437215013036
4.536389525E8	0.0
4.613934645E8	59.98495458442575
4.691479765E8	0.0
4.769024885E8	0.0
4.846570005E8	0.0
4.904921255E8	0.0
4.943693815E8	0.0
5.001660245E8	0.0
5.079205365E8	59.986495157585395
5.156750485E8	0.0
5.234295605E8	0.0
5.311840725E8	59.85049848978927
5.389385845E8	0.0
5.466930965E8	0.0
5.544476085E8	0.0
5.622021205E8	0.0
5.699566325E8	0.0
5.777111445E8	0.0
5.854656565E8	0.0
5.932201685E8	0.0
6.009746805E8	0.0
6.087291925E8	0.0
6.164837045E8	0.0
6.242382165E8	0.0
6.319927285E8	59.980358887004485
6.397472405E8	0.0
6.475017525E8	0.0
6.552562645E8	0.0
6.630107765E8	0.0
6.707652885E8	59.13490841701504
6.785198005E8	0.0
6.862743125E8	0.0
6.903119965E8	0.0
6.941892525E8	59.9081196350522
7.017833365E8	0.0
7.095378485E8	0.0
7.172923605E8	0.0
7.250468725E8	0.0
7.328013845E8	0.0
7.405558965E8	0.0
7.483104085E8	59.989640863106985
7.560649205E8	0.0
7.638194325E8	0.0
7.715739445E8	0.0
7.793284565E8	0.0
7.870829685E8	0.0
7.948374805E8	0.0
8.025919925E8	0.0
8.103465045E8	0.0
8.181010165E8	0.0
8.258555285E8	0.0
8.336100405E8	0.0
8.413645525E8	59.98959499780484
8.491190645E8	0.0
8.568735765E8	0.0
8.646280885E8	0.0
8.723826005E8	0.0
8.789432785E8	0.0
8.828205345E8	59.77743264747372
8.878916245E8	0.0
8.956461365E8	0.0
9.034006485E8	0.0
9.111551605E8	0.0
9.189096725E8	0.0
9.266641845E8	0.0
9.344186965E8	0.0
9.421732085E8	0.0
9.499277205E8	0.0
9.576822325E8	0.0
9.654367445E8	0.0
9.731912565E8	0.0
9.809457685E8	0.0
9.887002805E8	0.0
9.964547925E8	0.0
1.0042093045E9	0.0
1.0119638165E9	0.0
1.0197183285E9	0.0
1.0274728405E9	0.0
1.0352273525E9	0.0
1.0429818645E9	0.0
1.0507363765E9	0.0
1.0584908885E9	0.0
1.0624550525E9	0.0
1.0663323085E9	0.0
1.0739999125E9	0.0
1.0817544245E9	0.0
1.0895089365E9	59.98550426029411
1.0972634485E9	0.0
1.1050179605E9	0.0
1.1127724725E9	0.0
1.1205269845E9	0.0
1.1282814965E9	0.0
1.1360360085E9	0.0
1.1437905205E9	0.0
1.1515450325E9	0.0
1.1592995445E9	0.0
1.1670540565E9	0.0
1.1748085685E9	0.0
1.1825630805E9	59.99046740467405
1.1903175925E9	0.0
1.1980721045E9	0.0
1.2058266165E9	0.0
1.2135811285E9	0.0
1.2213356405E9	0.0
1.2290901525E9	0.0
1.233312218E9	0.0
1.237189474E9	59.148579019534985
1.2445991765E9	0.0
1.2523536885E9	0.0
1.2601082005E9	0.0
1.2678627125E9	0.0
1.2756172245E9	0.0
1.2833717365E9	0.0
1.2911262485E9	59.97964169794741
1.2988807605E9	0.0
1.3066352725E9	0.0
1.3143897845E9	0.0
1.3221442965E9	0.0
1.3298988085E9	0.0
1.3376533205E9	0.0
1.3454078325E9	0.0
1.3531623445E9	59.98289427762263
1.3609168565E9	0.0
1.3686713685E9	0.0
1.3764258805E9	59.94109493599913
1.3841803925E9	0.0
1.3904266695E9	0.0
1.3943039255E9	0.0
1.3996894165E9	0.0
1.4074439285E9	0.0
1.4151984405E9	0.0
1.4229529525E9	0.0
1.4307074645E9	59.98393223020837
1.4384619765E9	0.0
1.4462164885E9	0.0
1.4539710005E9	0.0
1.4617255125E9	0.0
1.4694800245E9	0.0
1.4772345365E9	0.0
1.4849890485E9	0.0
1.4927435605E9	0.0
1.5004980725E9	0.0
1.5082525845E9	0.0
1.5160070965E9	0.0
1.5237616085E9	0.0
1.5315161205E9	0.0
1.5372765445E9	0.0
1.5411538005E9	0.0
1.5470251445E9	0.0
1.5547796565E9	0.0
1.5625341685E9	59.9154182371735
1.5702886805E9	0.0
1.5780431925E9	0.0
1.5857977045E9	0.0
1.5935522165E9	0.0
1.6013067285E9	0.0
1.6090612405E9	0.0
1.6168157525E9	59.83864511429088
1.6245702645E9	0.0
1.6323247765E9	0.0
1.6400792885E9	0.0
1.6478338005E9	0.0
1.6555883125E9	0.0
1.6633428245E9	0.0
1.6710973365E9	0.0
1.677673868E9	0.0
1.681551124E9	0.0
1.6866063605E9	0.0
1.6943608725E9	0.0
1.7021153845E9	0.0
1.7098698965E9	0.0
1.7176244085E9	0.0
1.7253789205E9	59.98294617933581
1.7331334325E9	0.0
1.7408879445E9	0.0
1.7486424565E9	0.0
1.7563969685E9	0.0
1.7641514805E9	0.0
1.7719059925E9	0.0
1.7796605045E9	0.0
1.7874150165E9	0.0
1.7951695285E9	0.0
1.8029240405E9	59.99238178364743
1.8106785525E9	0.0
1.8152318495E9	0.0
1.8191091055E9	59.98899942571739
1.8261875765E9	0.0
1.8339420885E9	59.98687445089522
1.8416966005E9	0.0
1.8494511125E9	0.0
1.8572056245E9	0.0
1.8649601365E9	0.0
1.8727146485E9	0.0
1.8804691605E9	0.0
1.8882236725E9	0.0
1.8959781845E9	0.0
1.9037326965E9	0.0
1.9114872085E9	0.0
1.9192417205E9	0.0
1.9269962325E9	0.0
1.9347507445E9	0.0
1.9425052565E9	0.0
1.9486484595E9	0.0
1.9525257155E9	0.0
1.9580142805E9	0.0
1.9657687925E9	0.0
1.9735233045E9	59.95415059201949
1.9812778165E9	0.0
1.9890323285E9	0.0
1.9967868405E9	0.0
2.0045413525E9	0.0
2.0122958645E9	59.98837272231496
2.0200503765E9	0.0
2.0278048885E9	0.0
2.0355594005E9	0.0
2.0433139125E9	0.0
2.0510684245E9	0.0
2.0588229365E9	0.0
2.0665774485E9	59.98719217160652
2.0743319605E9	0.0
2.081487759E9	0.0
2.085365015E9	0.0
2.0898409845E9	0.0
2.0975954965E9	0.0
2.1053500085E9	0.0
2.1131045205E9	0.0
2.1208590325E9	0.0
2.1286135445E9	0.0
2.1363680565E9	0.0
2.1441225685E9	0.0
2.1518770805E9	0.0
2.1596315925E9	0.0
2.1673861045E9	0.0
2.1751406165E9	0.0
2.1828951285E9	0.0
2.1906496405E9	0.0
2.197231538E9	0.0
2.201108794E9	0.0
2.2061586645E9	0.0
2.2139131765E9	0.0
2.2216676885E9	0.0
